,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,アカウント,Order No.,販売日,初回チャット,仕入日,国,販売額,購入済み,仕入れ,国内送料,SLS送料,ポイント加算,その他備考,梱包者,実重g,cm,cm,cm,サイズ,発送チャット,商品名,仕入れ先,領収書印刷,国内追跡番号,SLS追跡番号,ヤマト控え有無,,収支チェック
77,20260410_miyawaki_ph_01_3,ph,260421DKC6JCAQ,4/21,,4/23,フィリピン,"₱4,823.00",TRUE,"¥7,400",¥865,₱656.00,,,菅原4/24,1430,46,18,17,81,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,メルカリ,,2790-9778-3554,,TRUE,,TRUE
78,20260303_miyawaki_ph_02,ph,260421DKUPFR4G,4/21,,4/24,フィリピン,"₱4,093.00",TRUE,"¥6,690",¥865,₱406.00,121P,,4/27小森,901,28,25.5,21,74.5,,Ichiban Kuji JoJo's Bizarre Adventure -THE★JOJO WORLD Jolyne Cujoh Prize F Anime Figure,らしんばん,,2790-9828-6530,,FALSE,,TRUE
79, 20260422_machida_ph_03,ph,260422F86UHJPT,4/22,4/22,4/22,フィリピン,"₱2,466.00",TRUE,"¥3,156",¥613,₱131.00,200P,,4/24松本,346,25,23.5,10,58.5,,"[Direct From Japan] Wild Willy 2, WR-02 Dual Hunter and other A-parts, 10005713",yahooショッピング,,2790-9778-3425,,TRUE,,TRUE
80,20260417_miyawaki_ph_04_2,ph,260422FJ1YQV6S,4/22,,4/23,フィリピン,"₱8,569.00",TRUE,"¥13,300","¥1,581","₱1,481.00",,,5/1松丸,3101,52,38.5,28,118.5,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,yahooフリマ,,2790-9865-9604,,FALSE,,TRUE
81,20260219_machida_sg_06,sg,260422G5BCYJD6,4/22,4/22,4/23,シンガポール,SGD85.50,TRUE,"¥5,420",¥613,,542P,,4/24松本,260,30.5,17,11,58.5,,Seiko Watch ALBA Ghibli Collaboration Model Kiki's Delivery Service,ビックカメラ,,2790-9778-3462,,TRUE,,FALSE
82,20260410_miyawaki_ph_01_4,ph,260423J1N1F14B,4/23,4/23,4/23,フィリピン,"₱4,823.00",TRUE,"¥7,030",¥865,,,配送失敗,4/28小森,1295,18,42,15,75,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,ラクマ,,2790-9828-6611,,FALSE,,TRUE
83,20260410_miyawaki_ph_01_5,ph,260423JH85NP7A,4/23,4/24,4/24,フィリピン,"₱4,823.00",TRUE,"¥7,611","¥1,135",₱681.00,,,4/30湯浅,1482,44,21,17,82,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,メルカリ,,2790-9855-1476,,FALSE,,TRUE
84,20260402_miyawaki_ph_01,ph,260423JHB23QF1,4/23,4/24,4/24,フィリピン,"₱2,318.00",TRUE,¥713,¥865,₱381.00,,,4/28松丸,836,33.5,25.5,12,71,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZED Prize C Figure,yahooフリマ,,2790-9828-6375,,FALSE,,TRUE
85,20260417_miyawaki_ph_04_3,ph,260423JPCH3VD9,4/23,4/24,4/24,フィリピン,"₱8,569.00",TRUE,"¥13,400","¥1,581","₱1,456.00",,,4/28小柳,3026,40,39,28,107,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,yahooフリマ,,2790-9828-6320,,FALSE,,TRUE
86,20260123_machida_ph_04_4,ph,260424M1FJJ92V,4/24,4/24,4/24,フィリピン,"₱7,234.00",TRUE,"¥11,000",,有在庫へ,430P,キャンセル,,,,,,0,,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,Amazon,5/7,,,FALSE,,FALSE
87,20260417_miyawaki_ph_04_4,ph,260424MCCJ0HH0,4/24,4/24,4/24,フィリピン,"₱8,569.00",TRUE,"¥12,900","¥1,581","₱1,331.00",,,5/1小森,2932,41,38,25,104,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,yahooフリマ,,2790-9865-9523,,FALSE,,TRUE
88,20260415_miyawaki_ph_03_4,ph,260424MEM5PX3F,4/24,4/24,4/24,フィリピン,"₱4,559.00",TRUE,"¥6,600","¥1,135",₱906.00,,,4/28松丸,1886,36.5,30,27,93.5,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,2790-9828-6272,,FALSE,,TRUE
89,20260410_miyawaki_ph_01_6 ,ph,260424MU4CK94B,4/24,,5/1,フィリピン,"₱4,823.00",TRUE,"¥7,599",¥865,₱531.00,,,5/1小柳,1127,34,21,20.5,75.5,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,メルカリ,,2790-9865-9630,,FALSE,,TRUE
90,20260324_machida_ph_02,ph,260425P3PCW09G,4/25,4/27,4/27,フィリピン,"₱5,100.00",TRUE,"¥7,980","¥1,135","₱1,056.00",79P,,4/28松丸,2193,50,35,13.5,98.5,,Authentic Tamiya 1/10 Electric RC Car Series No.336 Hornet,Joshin,5/8,2790-9828-6445,,FALSE,,TRUE
91,20260422_machida_ph_04,ph,260425PVU07FU5,4/25,4/27,4/27,フィリピン,"₱1,896.00",TRUE,"¥2,705",¥613,₱181.00,81P,,4/28小森,387,18,31,6,55,,Takara Tomy (TAKARA TOMY) Tomica Premium NISSAN SPORTS CARS 3 MODELS Collection Die-cast cars Toys For ages 6 and over,Amazon,5/7,2790-9828-6655,,FALSE,,TRUE
92,20260409_machida_ph_01_4,ph,260425Q4AE3JT0,4/25,4/27,4/27,フィリピン,"₱6,694.00",TRUE,"¥8,800","¥1,135","₱1,431.00",352P,,4/28松丸,3008,50,35.5,15,100.5,,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,Amazon,5/7,2790-9828-6482,,FALSE,,TRUE
93,20260408_machida_ph_06,ph,260426SFC8KYCV,4/26,4/27,4/27,フィリピン,"₱5,673.00",TRUE,"¥10,667",¥613,₱256.00,420P,配送失敗,4/29小森,506,26,24,10,60,,"Kaiyodo Revoltech Amazing Yamaguchi Deadpool Ver. 2.5, approximately 170mm tall",Amazon,5/7,2790-9842-8943,,FALSE,,TRUE
94,20260407_machida_ph_07,,260426T9APRBJ6,4/26,,,フィリピン,"₱2,258.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],,,,,FALSE,,FALSE
95,20260415_miyawaki_ph_03_3,ph,260427U35HE3WV,4/27,4/27,4/27,フィリピン,"₱4,593.00",TRUE,"¥7,000","¥1,135",₱981.00,,,4/30湯浅,2069,39,34,24,97,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,メルカリ,,2790-9855-1653,,FALSE,,TRUE
96,20260402_miyawaki_ph_01_2,ph,260427U4VMU16J,4/27,4/27,4/27,フィリピン,"₱2,318.00",TRUE,"¥3,000",¥865,₱381.00,,,4/30松丸,845,31,24,11,66,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZED Prize C Figure,yahooフリマ,,2790-9855-1561,,FALSE,,TRUE
97,20260415_miyawaki_ph_03_5,ph,260427VHYG10XJ,4/27,4/27,4/29,フィリピン,"₱4,593.00",TRUE,"¥6,250","¥1,135","₱1,056.00",,,5/6,,,,,0,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,2790-9936-9942,,TRUE,,TRUE
98,20260420_ishida_ph_06,ph,2604280ECM7W63,4/28,,4/28,フィリピン,"₱2,736.00",TRUE,"¥7,160",¥613,,208P,配送失敗,4/29小森,410,22,12,11,45,,Nendoroid Blue Archive Ajitani Hifumi Non-scale Plastic Painted Movable Figure,Amazon,5/7,2790-9842-8840,,FALSE,,TRUE
99,20260302_machida_ph_02,ph,2604281PAC18R0,4/28,4/29,4/29,フィリピン,"₱2,908.00",TRUE,"¥4,773",¥865,₱531.00,143P,,4/30小森,1202,38,26,14,78,,Jurassic World Hammond Collection Stegosaurus Action Figure Dinosaur Toy,Amazon,5/7,2790-9855-1384,,FALSE,,TRUE
100,20260318_machida_ph_01_4,ph,2604281UNMUHVN,4/28,4/29,4/29,フィリピン,"₱6,441.00",TRUE,"¥11,000","¥1,581","₱1,281.00",110P,,4/30松丸,2694,55,36.5,25.5,117,,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],Joshin（A）,5/8,2790-9855-1712,,FALSE,,TRUE
101,20260423_miyawaki_ph_01,ph,2604281YMEPRDD,4/28,,4/29,フィリピン,"₱2,800.00",TRUE,"¥4,500",¥613,₱206.00,,,5/1松丸,498,26,18.5,15,59.5,,Ichiban Kuji WIND BREAKER Original 5th Anniversary A Prize: Sakura Haruka Figure,yahooフリマ,,2790-9865-9383,,FALSE,,TRUE
102,20260422_mizushima_ph_02,ph,26042825JTS270,4/28,4/29,4/29,フィリピン,"₱7,853.00",TRUE,"¥14,960",,有在庫へ,1895P,キャンセル,,,,,,0,,[Casio] G-SHOCK Watch [Authentic Japanese Import] GA-100BEG-1AJF Men's Black,Amazon,5/7,,,FALSE,,FALSE
103,20260402_miyawaki_ph_01_3,ph,26042825W5PS13,4/28,4/29,4/29,フィリピン,"₱2,318.00",TRUE,"¥2,880",¥865,₱381.00,,,5/1湯浅,828,33,26,17,76,,chiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,メルカリショップ,,2790-9900-9781,,FALSE,,TRUE
104,20260428_miyawaki_ph_01,ph,2604282A31K0J8,4/28,4/29,4/29,フィリピン,"₱6,433.00",TRUE,"¥10,333",¥865,,,配送失敗,5/1湯浅,1133,31,23,18.5,72.5,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,メルカリ,,2790-9901-0164,,FALSE,,TRUE
105,20260119_miyawaki_ph_07_3,ph,2604282A404UG5,4/28,4/29,4/30,フィリピン,"₱4,228.00",TRUE,"¥7,399",¥865,,,配送失敗,5/6小森,,22,36,17,75,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,メルカリ,,2790-9937-0056,,TRUE,,TRUE
106,20260422_ishida_ph_01,ph,2604282DW2V5T4,4/28,,,フィリピン,₱502.00,FALSE,仕入れ無,,,,キャンセル,,,,,,0,,[BANDAI]GODZIBURST Godzilla(1954),,,,,FALSE,,FALSE
107,20260410_miyawaki_ph_01_7,ph,2604293F2XAVA7,4/29,4/29,4/29,フィリピン,"₱4,823.00",TRUE,"¥7,200","¥1,135",₱631.00,,,5/4小栁,1375,36,25,20,81,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,yahooフリマ,,2790-9901-0035,,FALSE,,TRUE
108,20260422_ishida_ph_05,ph,2604293V8AA7CN,4/29,4/30,4/29,フィリピン,₱512.00,TRUE,¥730,"¥1,135",₱581.00,291P,,4/30小栁,,,,,0,,[BANDAI]GODZIBURST Godzilla(2016),Amazon,5/7②,2790-9855-1351,,TRUE,,FALSE
109,20260422_ishida_ph_02,ph,2604293V8AA7CN,4/29,4/30,,フィリピン,₱492.00,TRUE,¥691,同梱,↑同梱,,,4/30小栁,,,,,0,,[BANDAI]GODZIBURST Godzilla(2004),,5/7②,2790-9855-1351,,TRUE,,FALSE
110,20260423_ishida_ph_05,ph,2604293V8AA7CN,4/29,4/30,,フィリピン,₱513.00,TRUE,¥730,同梱,↑同梱,,,4/30小栁,,,,,0,,[BANDAI]GODZIBURST Mechagodzilla (1993),,5/7②,2790-9855-1351,,TRUE,,FALSE
111,20260423_ishida_ph_02,ph,2604293V8AA7CN,4/29,4/30,,フィリピン,₱496.00,TRUE,¥694,同梱,↑同梱,,,4/30小栁,,,,,0,,[BANDAI]GODZIBURST Mechagodzilla (1974),,5/7①,2790-9855-1351,,TRUE,,FALSE
112,20260423_ishida_ph_03,ph,2604293V8AA7CN,4/29,4/30,,フィリピン,₱915.00,TRUE,"¥1,527",同梱,↑同梱,,,4/30小栁,,,,,0,,[BANDAI]GODZIBURST DX:King Ghidorah (1991),,5/7②,2790-9855-1351,,TRUE,,FALSE
113,20260422_ishida_ph_01,ph,2604293V8AA7CN,4/29,4/30,,フィリピン,₱502.00,TRUE,¥710,同梱,↑同梱,,,4/30小栁,1296,41,31,27,99,,[BANDAI]GODZIBURST Godzilla(1954),,5/7②,2790-9855-1351,,TRUE,,FALSE
114,20260417_miyawaki_ph_02,ph,26042949BNDTAQ,4/29,4/30,4/30,フィリピン,"₱2,960.00",TRUE,"¥4,726",¥865,,,配送失敗,5/1湯浅,860,35,22.5,18,75.5,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Prize B Yusuke Urameshi MASTERLISE Figure,メルカリショップ,,2790-9900-9593,,FALSE,,TRUE
115,20260323_machida_ph_01_2,ph,2604294VDCQRMG,4/29,4/30,4/30,フィリピン,"₱7,810.00",TRUE,"¥13,130","¥1,581","₱1,481.00",131P,,5/1松丸,3081,55,37,25,117,,Tamiya 1/10 Electric RC Car Series No.662 Comical Grasshopper (WR-02CB Chassis) Off-Road 58662 【Direct from Japan】,Joshin,5/8,2790-9865-9420,,FALSE,,TRUE
116,20260401_ishida_ph_01,ph,2604305TPN1334,4/30,4/30,4/30,フィリピン,"₱3,980.00",TRUE,"¥6,710",¥613,₱181.00,617P,,5/7,,,,,0,,[Good Smile Arts Shanghai] Nendoroid Rebirth 1999 X Non-scale Plastic Painted Movable Figure,yahooショッピング,,2790-9952-5714,,TRUE,,FALSE
117,20260420_mizushima_ph_07,ph,26043062SXWNV3,4/30,4/30,4/30,フィリピン,"₱7,146.00",TRUE,"¥12,000","¥1,581","₱1,156.00",,※タイトル間違えのため商品はサザビーです。,5/6松丸,2422,61,41,14,116,,[Gundam Base / Event Exclusive] MG 1/100 Zaku II Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),メルカリ,,2790-9937-0675,,FALSE,,TRUE
118,20260402_miyawaki_ph_01_4,ph,260430652AGS63,4/30,4/30,4/30,フィリピン,"₱2,318.00",TRUE,"¥3,500",¥865,₱356.00,,,5/6小栁,778,36,25,11,72,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,メルカリ,,2790-9937-0395,,FALSE,,TRUE
119,20260424_ishida_ph_03,ph,260430691B098Y,4/30,4/30,4/30,フィリピン,"₱6,126.00",TRUE,"¥9,980",¥613,,399P,配送失敗,5/4松丸,906,23,18.5,17.5,59,,[Direct From Japan]YAMAHA Portable Speaker WS-B1A(B): Bluetooth / Compact / IP67-rated dust and water resistance / Ideal for wet areas and outdoor use / Clear Voice / Black,Amazon,5/7,2790-9900-9674,,FALSE,,TRUE
120,20260324_machida_ph_03,ph,26043077JD9Q3P,4/30,5/1,5/1,フィリピン,"₱7,064.00",TRUE,"¥10,560","¥1,581","₱1,356.00",105P,,5/5湯浅,2663,50,36,17.5,103.5,,Authentic Tamiya 1/10 Electric RC Car Series No.599 RAYBRIG NSX CONCEPT-GT (TT-02 Chassis) On-Road,Joshin,,2790-9919-5782,,FALSE,,TRUE
121,20260410_miyawaki_ph_01_8,ph,2604307A2697M9,4/30,5/1,5/1,フィリピン,"₱4,823.00",TRUE,"¥7,500",¥865,,,,5/13小森,1272,20,45,17,82,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,メルカリ,,2791-0044-3322,,FALSE,,FALSE
122,20260417_miyawaki_ph_04_5,ph,2604307FJSR8BG,4/30,5/1,5/1,フィリピン,"₱8,569.00",TRUE,"¥14,000","¥2,103","₱2,156.00",,,5/7松丸,4452,59,42.5,35,136.5,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,メルカリ（着払）,,2790-9952-6156,,TRUE,,TRUE
123,20260415_miyawaki_ph_03_6,ph,2604307FJSR8BG,4/30,5/1,5/1,フィリピン,"₱4,593.00",TRUE,"¥6,100",,↑同梱,,122と同梱,同梱,4452,59,42.5,35,136.5,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,2790-9952-6156,,TRUE,,TRUE
124,20260407_machida_ph_07,ph,2604307HTFAJ46,4/30,5/1,5/4,フィリピン,"₱2,258.00",TRUE,"¥3,570",¥613,₱81.00,357P,,5/6,,,,,0,,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],ヨドバシドットコム,,2790-9936-9603,,TRUE,,TRUE
125,20260406_mizushima_ph_01,ph,260501885C2FJU,5/1,5/1,5/1,フィリピン,"₱5,205.00",TRUE,"¥8,100","¥1,135",,,,5/7,,,,,0,,BANDAI SPIRITS MG 1/100 Gundam Base Limited GM Sniper Custom (Mobile Suit Zeta Gundam Version),駿河屋,,2790-9952-5891,,TRUE,,FALSE
126,20260410_mizushima_ph_11,ph,26050188MS2JEY,5/1,5/1,5/1,フィリピン,"₱28,028.00",TRUE,"¥53,900","¥2,103",,9016P,配送失敗,,,,,,140,,[Tamiya] 1/10 Electric RC Car Series No. 489 4WD Racing Buggy Avante (2011) Electric Radio Control,楽天市場（Joshin）,,2790-9937-0583,,FALSE,,FALSE
127,20260402_miyawaki_ph_01_5,ph,2605018JC17S1A,5/1,,5/1,フィリピン,"₱2,383.00",TRUE,"¥3,100",¥613,₱331.00,,,5/13松丸,703,30.5,20.5,10,61,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,メルカリ,,2791-0044-3635,,FALSE,,FALSE
128,20260119_miyawaki_ph_07_4,ph,2605018JT0GPRV,5/1,,5/1,フィリピン,"₱4,228.00",TRUE,"¥6,000",¥865,,,,5/14松丸,946,34,19,17,70,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,メルカリ,,2791-0055-8041,,FALSE,,FALSE
129,20260417_sugahara_ph_01,ph,2605018N91NXNR,5/1,5/1,5/1,フィリピン,"₱5,536.00",TRUE,"¥8,980",,有在庫へ,89P,キャンセル,5/6小森,2004,50,17,35,102,,Tamiya Star Unit Comical Wheelie Series No. 9 RC Lunchbox Mini (SW-01 Chassis) 57409,Joshin,,2790-9937-0992,,FALSE,,FALSE
130,20260306_machida_ph_04_2,,2605018XJCEPNN,5/1,5/1,5/1,フィリピン,"₱13,167.00",TRUE,"¥25,800","¥1,581","₱1,531.00",258P,,5/6松丸,3168,60,44.5,18.5,123,,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,Joshin,,2790-9937-0830,,FALSE,,TRUE
131,20260413_ishida_ph_01,,2605019NTEWHWA,5/1,5/4,5/4,フィリピン,"₱3,525.00",TRUE,"¥6,290",¥613,,114P,,,,,,,0,,Good Smile Company Nendoroid Teto Kasane 2.0 Non-scale Plastic Painted Movable Figure,らしんばん,,2790-9952-5795,,TRUE,,FALSE
132,20260424_machida_ph_16,,260501A098FT6U,5/1,5/4,5/4,フィリピン,"₱1,399.00",TRUE,"¥1,609",¥865,₱231.00,48P,,5/5小森,,46,20,7,73,,[Direct From Japan] Takara Tomy (TAKARA TOMY) Plarail S-56 Mickey Mouse Speed Express Train Set – Toy for ages 3 and up,Amazon,,2790-9919-5675,,FALSE,,TRUE
133,20260420_mizushima_ph_09,,260502ARNT5SNC,5/2,5/5,5/5,フィリピン,"₱5,921.00",TRUE,"¥8,611","¥1,135",₱731.00,,,5/7水島,1554,44,34,13,,,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),駿河屋,,2790-9952-5622,,TRUE,,FALSE
134,20260316_machida_ph_02,,260502BAH340RF,5/2,,,フィリピン,"₱6,302.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,,,,,FALSE,,FALSE
135,20260316_machida_ph_02,,260502BAJ98GET,5/2,,,フィリピン,"₱6,302.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,,,,,FALSE,,FALSE
136,20260417_miyawaki_ph_04_6,,260502C8CA8SJC,5/2,,,フィリピン,"₱8,569.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,,,,FALSE,,FALSE
137,20260415_miyawaki_ph_03_7,,260502CEUMYQEJ,5/2,5/4,5/4,フィリピン,"₱4,593.00",TRUE,"¥6,500","¥1,135",,,,5/14,,,,,0,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,2791-0055-7923,,FALSE,,FALSE
138,20260422_ishida_ph_04,,260502CHBHUABM,5/2,5/4,5/4,フィリピン,₱506.00,TRUE,¥718,キャンセル,有在庫へ,21P,キャンセル,,,,,,0,,[BANDAI]GODZIBURST Godzilla(1991),Amazon,,,,FALSE,,FALSE
139,20260428_miyawaki_ph_01_1,,260503DGUE3RQ7,5/3,5/4,5/4,フィリピン,"₱6,433.00",TRUE,"¥9,900",¥650,,,,5/18松本,1193,32,24,23.5,79.5,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,yahooフリマ,,1404-6157-1025,,FALSE,,FALSE
140,20260428_machida_ph_04,,260502CKFCCNPG,5/3,5/4,5/4,フィリピン,"₱7,987.00",TRUE,"¥13,380","¥1,581","₱1,406.00",133P,,5/5松丸,2924,54.5,37,25.5,117,,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 727 Mitsubishi Pajero (CW-01 Chassis) 58727,Joshin,,2790-9919-5550,,FALSE,,TRUE
141,20260306_machida_ph_04_3,,260503E0P3JU7T,5/3,,,フィリピン,"₱13,167.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,,,,,FALSE,,FALSE
142,20260417_miyawaki_ph_04_6,,260503ESH9GV55,5/3,,,フィリピン,"₱8,569.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,,,,FALSE,,FALSE
143,20260407_machida_ph_07_2,,260503F4RCAYKB,5/4,5/4,5/4,フィリピン,"₱2,258.00",TRUE,"¥3,570",,,357P,キャンセル,,,,,,0,,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],ヨドバシドットコム,,,,FALSE,,FALSE
144,20260407_mizushima_ph_02,,260504HDKGN7ST,5/4,5/5,5/5,フィリピン,"₱5,194.00",TRUE,"¥6,890","¥1,135",₱656.00,,配送失敗,水島,1412,45,39,14,98,,BANDAI SPIRITS MG 1/100 Gundam Base Limited Sengoku Astray Gundam [Metallic] Assembly Plastic Model Kit,駿河屋,,2790-9952-5471,,TRUE,,FALSE
145,20260123_machida_ph_04_4,,260504HMYTD3UT,5/5,5/5,4/24,フィリピン,"₱7,234.00",FALSE,"¥11,000","¥1,581","₱1,781.00",有在庫,K87の在庫,菅原5/5,3596,53,45,20,118,,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,,2790-9919-5896,,FALSE,,TRUE
146,20260429_machida_ph_05,,260505HSCPCX1M,5/5,,,フィリピン,"₱5,792.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,"[Direct From Japan] Holy Stone Drone with Camera – Outdoor, Compact, Child-Friendly, Foldable, 1080p Camera, 3 Batteries, 36-Minute Flight Time, Storage Case Included, Optical Flow Mode, Trajectory Flight, Gesture Control, 2.4GHz, Mode 1/2 Switchable, Bir",,,,,FALSE,,FALSE
147,20260430_ishida_ph_01,,260505JM6F1VYQ,5/5,5/5,5/5,フィリピン,₱502.00,FALSE,¥691,¥613,₱56.00,20P,,5/6,,,,,0,,[BANDAI]GODZIBURST Rodan (1993) & Mazer Unit,Amazon,,2790-9936-9441,,TRUE,,TRUE
148,20260302_ishida_ph_02_3,,260505JU5SVPSE,5/5,5/5,5/5,フィリピン,"₱4,336.00",TRUE,"¥7,100",¥613,₱156.00,,,5/8松丸,332,26,19.5,11,56.5,,S.H.Figuarts Funeral of Freiren Freiren (Resale Version) Approximately 140mm PVC & ABS Painted Movable Figure TAMASHII NATIONS,駿河屋,,2790-9968-1921,,FALSE,,TRUE
149,20260318_machida_ph_01_6,,260505K6E2VHWN,5/5,5/6,5/6,フィリピン,"₱6,528.00",TRUE,"¥8,143","¥1,581","₱1,281.00",334P,,5/8町田,2214,36,25,55,116,,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],楽天市場（Joshin）,,2790-9968-1475,,FALSE,,FALSE
150,20260423_machida_ph_03,,260505M4AQU0PQ,5/5,5/6,5/6,フィリピン,"₱3,145.00",TRUE,"¥4,652",¥865,₱631.00,93P,,5/8町田,1359,34,25,21,80,,[Direct From Japan] Kyosho Egg Mario Kart Racing Kart R/C Bowser TV035,Amazon,,2790-9968-2175,,FALSE,,TRUE
151,20260219_machida_sg_06_2,,260505M4UY0J7C,5/5,5/6,5/6,シンガポール,SDG87.24,TRUE,"¥6,930",¥613,,811P,,松本5/7,234,20,17,11,48,,Seiko Watch ALBA Ghibli Collaboration Model Kiki's Delivery Service,楽天市場（楽天ビッグ）,,2790-9952-5272,,TRUE,,FALSE
152,20260422_ishida_ph_01_2,,260506NCT1CWFT,5/6,,,フィリピン,₱502.00,FALSE,仕入れ無,,,,キャンセル,,,,,,0,,[BANDAI]GODZIBURST Godzilla(1954),,,,,FALSE,,FALSE
153,20260316_machida_ph_02,,260506NGWQMQU0,5/6,5/6,5/6,フィリピン,"₱6,302.00",TRUE,"¥11,000","¥1,135",₱781.00,320P,,5/7,,,,,0,,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,Amazon,,2790-9952-6075,,TRUE,,FALSE
154,20260428_machida_ph_04_2,,260506NNBBF8W2,5/6,5/6,5/6,フィリピン,"₱7,987.00",TRUE,"¥13,380","¥1,581","₱1,406.00",133P,,5/8町田,2638,55,37,25,117,,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 727 Mitsubishi Pajero (CW-01 Chassis) 58727,Joshin（A）,,2790-9968-2352,,FALSE,,TRUE
155,20260123_machida_ph_04_5,,260506P0NT3C1P,5/6,5/7,5/7,フィリピン,"₱7,234.00",TRUE,"¥11,000","¥1,581","₱1,756.00",110P,,5/8小栁,3612,55,37,26,118,,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,Joshin（A）,,2790-9968-1033,,FALSE,,TRUE
